Data 15.03.2019    Godzina 13:47               ZBR/2003-SZYBY2

Symbol                                    Iloœæ   Szer     Wys     Pow.  Grub.  Poz Zlecenie             Opis						    Kolor ramki
4/16/4 (XN)(SWS)                             1    1129    2039   2.302    24     2 19/0868              Climaplus XN                                     czarny (RAL 9005)
4/16/4 (XN)(SWS)                             1    2352     409   0.962    24     2 19/0868              Climaplus XN                                     czarny (RAL 9005)
4/16/4 (XN)(SWS)                             1     979    1889   1.849    24     2 19/0868              Climaplus XN                                     czarny (RAL 9005)
4/16/4 (XN)(SWS)                             1     914    2039   1.864    24     3 19/0868              Climaplus XN                                     czarny (RAL 9005)
4/16/4 (XN)(SWS)                             1    1922     409   0.786    24     3 19/0868              Climaplus XN                                     czarny (RAL 9005)
4/16/4 (XN)(SWS)                             1     824    1949   1.606    24     3 19/0868              Climaplus XN                                     czarny (RAL 9005)
4/16/4 (XN)(SWS)                             1    1147    1194    1.37    24     4 19/0868              Climaplus XN                                     czarny (RAL 9005)
4/16/4 (XN)(SWS)                             1    1147     394   0.452    24     4 19/0868              Climaplus XN                                     czarny (RAL 9005)
4/16/4 (XN)(SWS)                             1    1159     394   0.457    24     4 19/0868              Climaplus XN                                     czarny (RAL 9005)
4/16/4 (XN)(SWS)                             1    1068    1104   1.179    24     4 19/0868              Climaplus XN                                     czarny (RAL 9005)
4/16/4 (XN)(SWS)                             1    1147    1194    1.37    24     4 19/0868              Climaplus XN                                     czarny (RAL 9005)
4/16/4 (XN)(SWS)                             1    1147     394   0.452    24     4 19/0868              Climaplus XN                                     czarny (RAL 9005)
4/16/4 (XN)(SWS)                             1    1562    1209   1.888    24     5 19/0868              Climaplus XN                                     czarny (RAL 9005)
4/16/4 (XN)(SWS)                             1    1562     409   0.639    24     5 19/0868              Climaplus XN                                     czarny (RAL 9005)
4/18/4/18/4 (XN)(SWS)                        4     570     988   2.251    48     1 19/0869              Climatop XN - 48mm                               czarny (RAL 9005)
4/18/4/18/4 (XN)(SWS)                        4     570     988   2.251    48     1 19/0869              Climatop XN - 48mm                               czarny (RAL 9005)
4/18/4/18/4 (XN)(SWS)                        1     804     988   0.794    48     2 19/0869              Climatop XN - 48mm                               czarny (RAL 9005)
4/18/4/18/4 (XN)(SWS)                        1     804     988   0.794    48     2 19/0869              Climatop XN - 48mm                               czarny (RAL 9005)
4/18/4/18/4 (XN)(SWS)                        1     704     988   0.696    48     3 19/0869              Climatop XN - 48mm                               czarny (RAL 9005)
4/18/4/18/4 (XN)(SWS)                        1     704     988   0.696    48     3 19/0869              Climatop XN - 48mm                               czarny (RAL 9005)
4/18/4/18/4 (XN)(SWS)                        1     814     868   0.706    48     4 19/0869              Climatop XN - 48mm                               czarny (RAL 9005)
4/18/4/18/4 (XN)(SWS)                        1     814     868   0.706    48     4 19/0869              Climatop XN - 48mm                               czarny (RAL 9005)
4/18/CHINCHILLA 4/18/4(SWS)                  1     793    1928   1.529    48     5 19/0869              Climatop XN Designe Chinchilla Bia³y             czarny (RAL 9005)
4/18/4/18/4 (XN)(SWS)                        1     904    2017   1.823    48     6 19/0869              Climatop XN - 48mm                               czarny (RAL 9005)
4/18/4/18/4 (XN)(SWS)                        1     814    1928   1.569    48     6 19/0869              Climatop XN - 48mm                               czarny (RAL 9005)
4/18/4/18/4 (XN)(SWS)                        1     373     748   0.279    48     7 19/0869              Climatop XN - 48mm                               czarny (RAL 9005)
4/18/CHINCHILLA 4/18/4(SWS)                  1     373     748   0.279    48     8 19/0869              Climatop XN Designe Chinchilla Bia³y             czarny (RAL 9005)
                    XXX SX SkXa DOST 79 03 19 SRODA
